word,frequency
t,77
the,69971
they,5600
they're,65
they'll,32
they'd,30
there,2728
therefore,205
there's,109
thereby,34
theresa,24
thereafter,20
thermal,33
their,2669
theirs,21
them,1788
themselves,270
theme,55
then,1600
these,1573
theory,129
theoretical,21
theories,20
theological,27
theater,52
theatre,29
that,10594
that's,187
than,1790
thank,36
thanks,37
this,5145
thin,92
think,460
thinking,145
thinks,23
thing,333
things,368
third,190
thirty,59
thick,67
thickness,44
through,971
throughout,141
throat,51
throw,42
thrown,40
three,610
threw,46
threat,42
threatened,29
threatening,26
thrust,22
those,850
though,440
thought,517
thoughts,54
thousand,97
thousands,47
thomas,100
thompson,38
thorough,21
thoroughly,40
thus,312
thursday,33
thyroid,38
to,26158
too,834
took,426
tool,40
tools,34
tooth,20
told,413
toward,386
towards,64
town,212
towns,50
today,284
today's,41
together,267
total,211
totally,22
top,204
touch,87
touched,42
tour,43
tournament,20
tough,36
tone,78
tones,20
tonight,38
tongue,35
tons,28
tom,63
tomorrow,63
tossed,31
torn,25
tim,25
time,1598
times,300
title,77
tiny,50
till,49
tilghman,25
tire,22
tired,48
tissue,41
tie,23
tied,34
tight,28
tip,22
two,1412
twenty,80
twenty-five,25
twentieth,20
twelve,48
twice,74
take,610
taken,281
takes,86
taking,175
tax,201
taxes,45
taxpayers,21
table,198
tables,44
talk,154
talking,100
talked,58
tall,55
tale,21
talent,40
talents,28
tales,21
task,60
tasks,29
taste,59
taught,50
target,45
targets,22
tape,35
tangent,26
tanish,100
tail,24
taylor,21
tactics,20
turn,233
turned,320
turning,75
turns,38
tuesday,58
tube,31
tubes,24
tell,268
telling,52
tells,34
telephone,76
television,50
telegraph,21
ten,164
tension,59
tend,43
tendency,49
tended,24
tends,34
tennessee,23
tent,20
term,79
terms,163
terrible,45
territory,31
terror,25
temperature,135
temperatures,26
temple,38
temporary,32
temporarily,20
technical,120
technique,60
techniques,99
technology,43
test,119
tests,61
testimony,47
testing,32
tested,37
testament,29
teeth,103
tea,29
team,83
teams,22
teach,41
teacher,80
teachers,69
teaching,67
tears,34
texas,69
text,60
textile,28
true,231
truth,126
truly,57
truck,57
trucks,22
trust,52
trustees,25
tried,170
trial,134
trials,39
trip,81
trips,29
tribute,24
triumph,22
trim,20
try,140
trying,163
train,82
training,156
trained,54
trail,31
trade,143
traders,26
tradition,94
traditional,78
traditions,21
trading,25
traffic,68
travel,61
traveled,22
tragedy,49
tragic,33
transportation,43
transfer,39
transferred,29
transformed,25
transformation,20
transition,32
track,38
tractor,24
trace,23
trap,20
trouble,134
troubled,31
troubles,22
troops,53
treat,26
treatment,127
treated,75
treaty,20
treasury,40
tree,59
trees,101
trend,46
trends,21
tremendous,37
trembling,26
type,200
types,116
typical,65
tv,39
t.,27
tsunami,21
",",58334
.,49346
o,26
of,36412
off,639
office,255
officer,101
officers,83
offices,45
official,75
officials,62
offer,80
offered,83
offers,45
offering,28
often,369
on,6741
one,4000
ones,116
one's,65
only,1748
once,499
onto,60
onset,38
or,4206
order,376
ordered,69
orders,58
orderly,20
ordinary,72
organization,128
organizations,61
organized,56
organic,38
origin,44
original,103
originally,23
orchestra,60
orleans,40
oral,27
orange,23
out,2097
outside,210
outstanding,37
outlook,36
output,35
outer,31
outdoor,27
outcome,26
our,1252
ours,27
ourselves,66
ought,68
other,1800
others,323
otherwise,86
over,1236
over-all,35
overcome,26
overseas,22
overwhelming,20
own,772
owner,33
owners,35
ownership,22
owned,34
owen,25
old,661
older,93
open,318
opened,131
opening,83
openly,34
opera,47
operation,113
operations,84
operational,25
operating,87
operator,49
operate,48
operated,27
opportunity,121
opportunities,51
opposite,81
opposition,46
opposed,41
opinion,96
opinions,44
optimal,28
oh,122
ohio,38
obtain,42
obtained,115
obvious,92
obviously,114
object,65
objective,91
objectives,39
objects,65
observe,25
observed,74
observers,20
observation,27
observations,40
obligations,22
obliged,21
oil,95
occur,43
occurred,67
occurrence,30
occurring,21
occurs,27
occupied,36
occupation,24
occasion,58
occasional,37
occasionally,48
occasions,22
october,51
oct.,28
ocean,34
oxygen,44
oxidation,23
odd,44
o'clock,41
o'banion,25
o.,29
a,23195
an,3740
and,28853
andy,33
any,1344
anything,280
anyone,140
anyway,46
anywhere,39
anybody,42
anyhow,20
another,684
anode,77
answer,152
answered,67
answers,44
analysis,108
ann,29
annual,93
announced,88
announcement,24
anne,42
anniversary,21
ancient,69
animal,68
animals,58
angle,51
anglo-saxon,22
anger,48
angeles,47
angels,24
angry,45
anxiety,42
anxious,29
anti-trust,26
anti-semitism,23
anticipated,23
anticipation,20
as,7253
ask,128
asked,398
asking,67
association,132
associations,30
associate,21
associated,61
assist,26
assistance,87
assistant,36
assignment,62
assigned,53
assume,63
assumed,72
assumption,41
assumptions,23
assure,37
assured,39
assembly,50
assembled,24
assessment,23
assessors,20
aside,67
asia,44
aspect,47
aspects,64
asleep,30
astronomy,24
are,6400
area,324
areas,236
aren't,36
around,562
aroused,20
art,208
article,68
articles,31
artist,57
artists,55
artistic,33
arts,66
arthur,51
artery,46
arm,94
army,132
arms,121
armed,60
argument,63
argue,29
argued,29
arrive,24
arrived,62
arrival,23
arranged,44
arrangement,34
arrangements,38
arc,41
architect,22
arise,28
aristotle,21
arlene,26
arbitrary,22
arnold,20
at,5372
attention,179
attend,54
attended,36
attending,23
attempt,95
attempts,38
attempted,33
attempting,23
attitude,107
attitudes,48
attack,105
attacked,25
attacks,22
attached,25
attain,20
attorney,65
attractive,39
attracted,25
atmosphere,79
atom,37
atomic,46
atoms,40
atlantic,40
atlanta,35
al,25
all,3100
allow,72
allowed,86
allowing,31
allowances,25
allotment,39
allies,30
allied,29
alliance,20
allen,20
also,1069
always,458
almost,432
along,355
alone,195
although,321
alternative,34
altered,22
altogether,30
already,273
alive,57
alienation,22
alike,20
alfred,52
alex,30
alexander,45
alert,33
alec,25
albert,29
alaska,22
alabama,20
about,1815
above,296
aboard,25
able,216
ability,74
absence,53
absent,28
abstract,34
absolute,30
absolutely,27
absorbed,24
abroad,51
abandoned,25
abel,20
af,996
after,1069
afternoon,106
affair,33
affairs,84
afford,40
affect,35
affected,36
afraid,57
africa,45
african,28
again,577
against,627
ago,246
age,227
agencies,62
agency,56
agent,44
agents,39
ages,51
agree,51
agreement,106
agreed,81
agricultural,38
agriculture,23
am,237
america,194
american,569
americans,93
america's,22
amendment,23
among,370
amount,172
amounts,44
amateur,25
amazing,20
ambiguous,22
ambassador,22
away,456
aware,84
awareness,32
award,46
awake,20
act,283
action,291
actions,68
activity,116
activities,115
active,88
acting,61
actual,99
actually,166
acts,39
actor,24
across,282
acres,44
according,140
accordingly,31
accordance,20
account,117
accounts,38
accomplish,24
accomplished,44
accompanied,37
accept,72
accepted,96
acceptance,49
